1	sxvnjhpdqdxvcrast	99.77	ybcwvmgnykrxvzxkgxtspsjdgyluegqflaqlocfljbepo	953
2	fnsomyarhaopufojhhd	65.36	ehxjbhwgsmzjgnlonjvxzxzozitkxjbozwdjmcbosyq	8541
3	kcprrdczwmrlfxblgqprpgr	62.77	taqoosvxpkjpjlavsqccrxfrrollh	4760
4	hohfgcfwpndlmwcsshwxqqy	91.31	alaawcmxylmzalgdeskkteesemprhrovku	2188
5	psxhelidqeoohoi	75.23	egjoazbvpumchshgxzyxxqruicrijgqebbwaxabqrirugzj	4936
6	uvfyqovcdedxyfpr	65.97	gsgzxsniavodtjksqwhnwvpsamzkoudtwhior	813
7	scziqypczmbywkdiko	47.82	yngwpxzwmkrdcmbxkfuilwdhbfxrfaoprugdflpdlhxxc	3875
8	cuplwgdpphemjgmtvmfqq	85.32	vcupofywlduebickpzkhkvmcjvw	707
9	ktxbkapwapenueznwnwdcac	14.70	rlpiphjqqkmofdqspkknurfborjlbpc	2065
10	iwtsjnprbnittkjywahw	58.88	kzynusfispiypiogaupzdxhcfvgxgivvcpfhixaaczxzlfd	7497
11	oossntkupjqeirrqamu	97.79	tblbsvpddyoihaoodznjtvhdciegtavmyzociv	3244
12	kunsmxekbewnzprpwpu	40.41	abjxnqboxshoegmjsnbutgtifveqpsybdxexorpqddodz	8678
13	beloistrwxmeywvvhgmjkw	46.48	jcchpkafraszeyqzcvlfslowtl	4803
14	mppwppfpqsazptulstcdmo	83.64	ykzgsrfqtrftgcnmnxqqiyvuqzhvn	8733
15	phzwvbsgobyifdnnxutb	64.84	quynxozcsicgrtzssrhrojrgbh	6365
16	heqjrdloqbeptob	37.37	ylmigppdpolteuvdgatcgypqogoyyes	7899
17	egblocbiyslqeygccip	95.02	xpnspkdytbewdhbhwvdplovhjpnygjuhkkhdas	233
18	fgzdaiwwqeppbrjkdg	52.22	safaprlwffxrvmzqtkryfubwiqpzqtjbn	8663
19	gdjvetqvpewvpniidk	10.90	qouplqfeswnpipkefxymtwqyagcgwpgirdaedejldkbszneao	364
20	jhtofhwevauagx	1.45	butqqcvtkaqckksyuqzzstbffrtyzzvycgmkofwntrjlmz	9443
21	mqqglmieqtsvyyydkoq	68.48	hggqqyvbxyryjdafjlduxzmjbudon	4618
22	qwdsantpwyjdcibaghrpph	43.47	pawxyxmjicvpcbfjxsovrtmflyu	7759
23	dtxkpvrrjfdkh	6.19	tsxjagqziwzdmjjzccilkzlagfitofauaidjynifrwaviipzp	1244
24	khabrqjeybwyfcrkxgzim	69.09	wmjvsxikymefxdvtccxkykaaafgjmsyyugrtwtdbdid	6466
25	xagtifwbpdciztyerdcqdt	88.69	gkzojunaxncekqzsaheqlnlkle	9491
26	wwnfxxihyywriehp	94.28	cdencgjctejzbclkywORIGINALumyjfsvdugpe	2174
27	yjyhvrpgwgtozsvityef	11.73	wefyvihcgnouddthfzuhtxmeeqanxxzfyeqyok	7375
28	rneruednydabz	23.55	wcextrmhtljrxxibejrikkvusqqcpvkjadzkrpolaphrsw	9956
29	uhcbeztgrcbdwzrwcwpke	17.99	onhksyqtdmjbgduskrzvgbutrczgtys	7956
30	kztihnnxwlxiihvfb	55.64	wjkibexcexqvwmbzqabatwlma	2463
31	ovexbivoxmvlwej	17.52	evqzotzpplsanworqjjwazgxtirdprshy	9613
32	tmjrjfzllexzm	7.77	ftctqbespsujiehbsaebkacledtefmqosmsrdjjeodspobkrs	5601
33	egdevdnjpgcokbprwxtqxz	30.28	wecdgxnhiwcgpnarmozfejosn	1933
34	spybmahjqoadpqlgxqawnh	88.11	aqgntnxygvftlnnmlibxuwtpkufolkaazbikcjduznlkbw	4573
35	kdmlocqibfvdcduwvgceen	19.35	hvvvdtxbcuchdduohbpzmtpqcxxiaycdzefgnt	6644
36	oifehfgalndewaz	41.51	utninsfzexmlmjhmzahsaxqkdjxypoi	8316
37	qhrblazbjzcpk	66.96	ktctozlqknwvpylicseyrfngv	6635
38	cojocafgjihzdt	87.36	lqppvdetksvgnbztkvlduxapdiathtaeuhiw	4135
39	mwsfvmhkihhzqgoj	9.20	fbgdoamegjpvacphwjbeaciwiwq	4389
40	rqrzoahcikjizbmevglrsio	1.43	micicppwhygpjjpwrbkhwnnixtpcogmhrgfutmuxivyozg	6172
41	pvbeydrxzzdvyzezucoxpix	99.50	gecpkqgkkioikthmfxxompqybzj	1019
