50001	tvgscrmiqpztabsdisk	43.81	xboyvksmekdukguoengnxxmbklqeenvxgkfgz	1733
50002	dbxuyibsdwtdzbpjgod	40.33	qgqewfdhvlswanjryrbmbovvnbbsvonuhlsfx	9642
50003	ssjdpdvtlubxdgyf	18.55	ejqvdycyauormoffiwibrhnpoapjueerttkoofflqdokwr	4612
50004	fivekhxjrhgwghnh	81.69	walzrgdhmurdgnigooxlawypokoz	8
50005	oyvbxmxlsmnuhdilsbi	70.64	udnlvlvsjcocdlyeaeaseevtxtuzbiyjgvhhyaax	1937
50006	hkbwvatqmdygelp	16.50	crtxogefebhgfrhthmlbjkbhsgaxjvtjybvtzidwmta	6723
50007	tsyaashqzbnnqikx	37.81	eoticiipzunflnbijslfeizmndovelpadORIGINALwhewo	4334
50008	dndbajfpmdlrvoxyxsokum	9.88	lhiuvhaovohtyizjcpxhwvnsnuzq	8092
50009	ysusiqsmhjazhkwcbkiflr	8.69	jjagwgmwwqcthuwlrwicyynzuwphbo	3920
50010	cdhnjbzibkwlyqf	1.02	rbakcrrokORIGINALyywynupwxut	9099
50011	pdccmhtjfilsmudcueuncej	68.43	ucocmmneydgmgecctlmwfrtverjyjn	68
50012	hnmxqbjpozukz	54.95	cbtklfejqrlnhjrrlyyodbzoszidawaexjeu	2178
50013	vzdsibzcotsvgorvczg	51.91	nrmdzliemnhwnstejvtemnllj	2480
50014	dppiaafnjrwpiauqni	76.97	xcftfvjgdmblypffnkfduzqiugmqpucyovjmxdx	1246
50015	hfmeaxtpnzkshjkawbue	3.15	rfoqvnxqgszuipszdrhrwjiwrvqzzdtqyjnasjcfyuqjgpeld	451
50016	gzckbybnfbizwy	98.50	gbxqsdsdtpewlekpvgvcfthfiqudjnizirfdkp	7026
50017	ittbbuidenrkm	39.95	uveecxzzwnybvyiiomjverzvtnxdpfwgjhgxyrhqkhkyzb	9641
50018	kpmudinhwekelraveq	57.65	liiyxvbcgkltcgdmywiemineir	9446
50019	ogvlayltavdekkrzmw	69.92	kmrgxmqdzywlnguvgxnxcqdrswyagojvqcdohjyg	2256
50020	prksnqlraixez	43.67	sedjoewreORIGINALrlczi	1985
50021	ixnbilysrrrujsusvl	15.56	nxkduaywfoqqjvueugmwhgibhsefsrxcsgjrnnstbidcneuqs	7360
50022	lkpkwsppjmudlxlpqxl	30.68	cexvdkwlgikpujhircbirqjapzirswvl	4671
50023	hfgxosuilsdqtk	2.71	poORIGINALlseynlgxslsniih	4790
50024	bpcacgdykokckxgfqqcvjb	33.03	jvmlwebflocpbktizymwfrzrdpx	74
50025	nnjdemuqtebdealytdfvnc	27.87	oxwfyiwuxvxgkkrooahfbfqxitmtjmhqfewrwv	7704
50026	psuuienwndalokyifwam	85.10	kfpnmvoluhtlosvhnyrmuenbhzybqbevuoomwfsj	4234
50027	cvnlabtptwpimgaozw	14.22	otpjdrjtehwkjjvjrjalfsbxjbvvfsvpgsumqvz	5667
50028	lnzmqbgegdhhecr	92.26	nuoaiqrjjshrmwuyecsdwagkqjswcvqxftxhikbtayfy	8580
50029	wjpdtsnleepvyovptxleld	65.67	gotyupcjxdlclnvwxjisweqbftymqzb	8262
50030	yzqutsxezsuifqw	29.65	ajdsvwbdzzlybbsdwnswlcudtrhxjevofvbxvreze	2849
50031	rowkdknipzqtabjwcgfhj	81.56	sgarvpruomabknuupxbjmffsasmwkeuirucmxhg	3887
50032	venvcivjweekdbsqtjj	84.31	xbbthgxpdqsvvftpscnfixevcmdba	4105
50033	obbqpugxrdaaxzlzajuit	97.13	nalodhffnltukcjggaokbgpzmlinlfsp	7160
50034	xlsbbndxreako	31.41	rxbkgwjjvyfpvyxwpyrsarcwngrdzgybrdgldqettrtrpex	2415
50035	xkvewztdnlwgqrpjtcjfm	77.51	lupwqiwbcszbxrboxdvfqbidqfsxjbigeahswyyxeszdp	88
50036	bncjvxtywsgueswzhstbebg	4.67	ozajccbpcsplqgmnonsxunkkpjzmxfarxwrzmhbtnpzeyvx	1184
50037	drubopkavkwjoxkziytgrq	78.70	krxuatquwlybsaucsppogmjgwyxvtclcriqpepforyvnxzs	3801
50038	yphkwwriwbmklqtvcjdj	64.91	wgrmyxvirkvjkpvuikliuggtdxcuhfelqpvdkiqer	5794
50039	zymvwdhdhjgvscaxbspqvn	98.10	wmdisgfgmkjsruohkztyevalxeyojlbkzsmtaisikxsm	250
50040	jrzjnjbaifglckvgqzsh	89.83	vdfdqvdgpnnedefdnjdtgyenegeheagrpypa	2011
50041	gfhueavytiobjv	72.84	vlvnimatbiyjavvrztcirhbztaxqtmfnojehywmenjvigsy	4129
50042	qomsshhbzssxlvu	90.78	sovnojavbriqvmqbmzitaytxgdbfblocfyvnlaxlmcehbf	9572
50043	nyoilumcvjhvtbemhmtziwp	38.66	zjudusegirtujwdwrqkytnllmnhpmzbdrddim	4834
50044	wsdczthrlrffirlzxpoufvt	17.44	rfsjfljhtluugoycliojwtkrlakshzgwejvfnavnsyobudox	7782
50045	ubjkumdchqtfifpzp	9.59	qveyluaawngztsqfceyfglflzdngsxbokjciyi	4178
50046	ghnjncvowdwtgwfiy	78.69	ysfmamqgiubkrffdhtoynyjzwwteaqzs	3305
50047	bpjpxuuvsuswracb	13.06	bjlfhflwysvkpqvtmfzkbhifuwzqjfttyitrfwn	4882
50048	yftfznzocowferubrarqd	47.24	hyelyzplsdlhaoneaquiardbpadlxhzsbejrbabncq	5999
50049	tvnyjlcudqnrlvzkvkssj	73.24	nhylojljdfshkrkvxcziahatdjtxelysijftcnvt	6819
50050	dgbsdoqtvilsifjgcxioegc	47.11	repqgaxqfbqgdflatugbcbsetbum	5205
50051	eptdycxduflftjptikjo	93.81	jbgrxshlkuflqmxhntcwtgfitbtrstlnputkxsklzvnpqwo	6134
50052	xzagehbaoewbdgmbgivr	5.95	iyngiqgfkqcpkhdffxbrrxgastlia	5743
50053	knbnzungzmcrp	23.37	yugqqwsvxfleobqggimmesofjygddsuccgeerxexgn	7590
50054	uesqhrojynwuidlrwkfmn	87.85	akdgpjewjlzikcdwwslooqcmnjynovlgllpvvwyohkfh	2648
50055	wlvznleeysdxohuymxv	36.37	obzosutavjyfpogddthnfxlatgvtfhwmepxxbhrmnfrokhyve	2853
50056	mixphvyidlskovu	22.44	zncqdflpscxfisdqfvntgswhpvnmphtlvz	4864
50057	ienovpcahgiytesmmkmxph	25.84	ivrrswmxobajonbdbvdwcnecsflo	9374
50058	xbhxxaolhkbxuxukih	86.23	wyeropwwmxfkepqpgyuitbgiqmydgehrdbhfjfczb	7427
