1	sxvnjhpdqdxvcrastvybc	29.66	vmgnykrxvzxkgxtspsjdgyluegqflaqlocfljbepow	6268
2	nsomyarhaopuf	81.67	jhhdxehxjbhwgsmzjgnlonjvxzxz	7450
3	zitkxjbozwdjmcbosy	35.15	qkcprrdczwmrlfxblgqprpgrntaqoosvxpkjpj	5365
4	avsqccrxfrrollh	26.04	hORIGINALhfgcfwpndlmwcsshwxqqykalaawcm	5057
5	ylmzalgdeskkte	4.47	semprhrovkumpsxhelidqeoohoihegjoazbvpum	527
6	hshgxzyxxqruicrijgqebb	69.28	axabqrirugzjuuvfyqovcdedxyfprlgsgzxsnia	3502
7	odtjksqwhnwvpsamzkou	5.66	twhiorjscziqypczmbywkdikoky	2235
8	gwpxzwmkrdcmbxkfu	90.67	lwdhbfxrfaoprugdflpdlhxxcxcuplwgdpphemjgmtvmf	6708
9	qfvcupofywldue	98.86	ickpzkhkvmcjvwvktxbkapwape	3511
10	ueznwnwdcacdrlpiphjqq	83.02	mofdqspkknurfborjlbpcbiwts	8306
11	nprbnittkjywahwgkzynusf	56.10	spiypiogaupzdxhcfvgxgivvc	7017
12	fhixaaczxzlfdmoossntku	58.55	jqeirrqamuctblbsvpddyoihaoodznjtvhdciegtavmy	3197
13	ocivskunsmxekbewnzpr	57.75	wpujabjxnqboxshoegmjsnbutgtifveqps	9965
14	bdxexorpqddodzgbeloi	94.11	trwxmeywvvhgmjkwljcchpkafraszeyqzcvlfslowtlbmppwp	5730
15	fpqsazptulstcdmodykzg	67.88	rfqtrftgcnmnxqqiyvuqzhvniphzwvbsg	7960
16	byifdnnxutbbqu	87.73	nxozcsicgrtzssrhrojrgbhmheqjrdlo	6457
17	beptobmylmigppdpolteuv	37.15	gatcgypqogoyyeskegblocbiyslqeygc	5405
18	ipbxpnspkdytbe	54.37	dhbhwvdplovhjpnygjuhkkhdasnfgzdaiwwqe	817
19	pbrjkdgosafaprlwffxr	71.28	mzqtkryfubwiqpzqtjbnwgdjvetqvpewvp	256
20	iidkzqouplqfeswnpi	28.45	kefxymtwqyagcgwpgirdaedejldk	2511
21	szneaoljhtofhwevau	3.93	gxmbutqqcvtkaqckksyuqzzstbffrty	3594
22	zvycgmkofwntrjlmzg	50.39	qqglmieqtsvyyydkoqthggqqyvb	5870
23	yryjdafjlduxzmjbudonbq	72.08	dsantpwyjdcibaghrpphwpawxyxmjicvpcbf	3882
24	xsovrtmflyufdtxkpvrrj	36.00	dkhotsxjagqziwzdmjjzccilkzlagf	1361
25	tofauaidjynifrwavii	21.35	zpakhabrqjeybwyfcrkxgzimcwmjvsxikymefxdvtccxkyka	3707
26	afgjmsyyugrtwtdb	19.52	idnxagtifwbpdciztyerdcqdtfgkzojunax	9736
27	cekqzsaheqlnlklewww	18.80	fxxihyywriehptcdencgjctejzbclkywcumyjfsvdugpeby	8475
28	yhvrpgwgtozsvityef	12.15	wefyvihcgnouddthfzuhtxmeeqanxxzfyeqy	5952
29	khrneruednydabz	94.59	wcextrmhtljrxxibejrikkvusqqcpvkjadzkrpolaphrswbuh	2890
30	beztgrcbdwzrwcwpketonhk	17.20	yqtdmjbgduskrzvgbutrczgtys	8632
31	kztihnnxwlxiihvf	12.62	ywjkibexcexqvwmbzqabatwlmazovexbivoxmvlwejnev	1290
32	zotzpplsanworqjjwazg	81.13	tirdprshydtmjrjfzllexzmuftctqbesp	3865
33	ujiehbsaebkacled	25.71	efmqosmsrdjjeodspobkrsqegdevdnj	2075
34	gcokbprwxtqxzswecdg	87.04	nhiwcgpnarmozfejosnhspybmahjq	9789
35	adpqlgxqawnhkaqgn	4.61	nxygvftlnnmlibxuwtpkufolkaazb	7850
36	kcjduznlkbwakdmlocq	43.28	bfvdcduwvgceenwhvvvdtxbcuchdduohbpzmt	6655
37	qcxxiaycdzefgnt	13.78	oifehfgalndewaznutninsfzexm	536
38	mjhmzahsaxqkdjxypoi	37.52	qhrblazbjzcpkfktctozlqknwvpylicseyrf	3740
39	gvocojocafgjihzdtqlqp	53.82	vdetksvgnbztkvlduxapdiathtae	2003
40	hiwimwsfvmhkihhzqg	91.06	jxfbgdoamegjpvacphwjbeaciwi	2049
41	qvrqrzoahcikjizbm	92.12	vglrsiotmicicppwhygpjjpwrbkhwnnixtpcogmhrgfutmuxi	3794
42	yozghpvbeydrxzzdvyzez	53.43	coxpixsgecpkqgkkioikthmfxxo	9637
43	pqybzjtyzjpjtdt	78.44	adcnsncyfmmeyqnoygsgllgiieteuaubzfzbjg	5791
44	iccjnzmwqnqzerswknghql	23.69	rmgzhiycedzgiORIGINALhxipijfzpoqhgcfhdyna	6990
45	gfslgxjajycsaqtf	62.62	dxevbkmjfcbduyrgolagrhilk	2425
46	bwhbwpgqgjxynvsmaddlmlx	55.79	bjxdxqomqptqxvsufjnkvocbjc	3704
47	naakxjozqlwfbnzbl	68.42	klxeucribzgadmpsvzaerqjoaumihcghubxurkusijgmxcvkm	8400
48	vlsbjgqzfbeknvoyuj	12.24	efmxnvyyzmmgjjbefnwnmodfaxs	664
49	hctdndkgyxxbzjuqls	93.93	gkicijjkcunqzmzauzghzhcsqsmssfooyv	125
50	aegkvtpatrzvtktzwrmc	48.31	rgieulzskbtgukxtrgdpcfsdwgqotujvia	1084
